6	C D 	D C D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
6	C 	C C 	S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S D S 	2
6	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S 	1
6	C 	D C 	S S S S S S S S S S C S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
6	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S D 	1

7	C 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
7	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
7	C 	C C 	S S S S S D S S S S C S S S S C S S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S 	4
7	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S D S S 	1
7	C 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S 	1
7	D 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
7	D 	D C 	D S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S C S S S S S S S S S S S S S S 	1
7	D 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S 	3
7	C 	D C 	S D S S S C S S S S S S S S S S S S S S S D S S S S S S S S S S S S C S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S C S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S C S D S S 	1
7	C D 	D C D C 	C S S S S S D S S S S S C S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S S S S S S C S C S S S S C S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S 	1
7	C 	D C 	S S S S S D S S S S C D S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S D S C S S S S S S 	1
7	C 	D C 	S S S C S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C C S S S S S S S S S S S S 	1
7	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S C C S S S S S S S S S S S S 	1
7	D C 	D C D C 	C S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S C S S S 	1
7	D 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S D C S S S S S S S S S S S S S S S 	1
7	D 	D D 	S S S S S S S S D S D S C C S S S S S S S C S S S S S S S S S S S S S S S S S S S S S D S S S S S S 	1
7	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S C S S S S S S S S S S S S S S 	1
7	C C 	D C D C 	C S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S 	1
7	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S C C S S S S S S S S S S S S 	1
7	D 	D C 	S S S S S D S S S S C S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S D S S 	1
7	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S D S S S S C S S S S 	1
7	C 	D C 	S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S C S S S S S S S S S S S S S S 	1
7	D 	D C 	S S S S S S S S S S C C S D S C S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S 	1
7	C 	C C 	S S S S S S S S S S S S S S S S S S D S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
7	D 	D C 	S S S S S S S S S S C S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
7	D 	D C 	S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S D S S S S S S S S S C S 	1
